Torch: 2.12.0+cu130
Using CPU.
[Bellman] lambda=0 -> baseline (no widening signal)
[Value] SELF-CONSISTENT: leaf value = QR-DQN max_a mean Z(s,a) (SAC critics bypassed; prior still SAC policy)
[Add] OPTION8 add_beta=0.1 src=binc cap=2.0 (ADDITIVE bonus, NOT gated by P(a); prior untouched) [SHUFFLE CONTROL: signal-blind placement]
/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/TensorAdvancedIndexing.cpp:1514.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
  [sim 140] found goal path of length 56
[Final] Expanded: 373, Generated: 373
[Cost] IQN forward calls (Bellman signal): 734
[Widen] nodes widened: 0, mean w: 0.0000
[Add] child-edges given an additive bonus: 9496, mean (rel-1): 0.6521
[search done] simulations=140, unique states generated=373
Found a solution of length 56!
   1: (move f4-4f f4-3f)
   2: (move f4-3f f3-3f)
   3: (move f3-3f f2-3f)
   4: (move f2-3f f2-2f)
   5: (move f2-2f f2-1f)
   6: (putdown f2-1f key1-3)
   7: (move f2-1f f2-2f)
   8: (pickup f2-2f key0-0)
   9: (move f2-2f f2-1f)
  10: (move f2-1f f2-0f)
  11: (move f2-0f f3-0f)
  12: (move f3-0f f3-1f)
  13: (move f3-1f f4-1f)
  14: (putdown f4-1f key0-0)
  15: (move f4-1f f4-0f)
  16: (move f4-0f f5-0f)
  17: (move f5-0f f5-1f)
  18: (move f5-1f f6-1f)
  19: (move f6-1f f6-0f)
  20: (move f6-0f f7-0f)
  21: (pickup f7-0f key1-2)
  22: (move f7-0f f7-1f)
  23: (move f7-1f f7-2f)
  24: (move f7-2f f6-2f)
  25: (move f6-2f f6-1f)
  26: (move f6-1f f6-0f)
  27: (move f6-0f f5-0f)
  28: (move f5-0f f5-1f)
  29: (move f5-1f f4-1f)
  30: (move f4-1f f4-0f)
  31: (putdown f4-0f key1-2)
  32: (move f4-0f f5-0f)
  33: (move f5-0f f5-1f)
  34: (move f5-1f f4-1f)
  35: (pickup f4-1f key0-0)
  36: (move f4-1f f5-1f)
  37: (move f5-1f f5-0f)
  38: (move f5-0f f4-0f)
  39: (pickup-and-loose f4-0f key1-2 key0-0)
  40: (move f4-0f f5-0f)
  41: (move f5-0f f6-0f)
  42: (move f6-0f f7-0f)
  43: (putdown f7-0f key1-2)
  44: (move f7-0f f6-0f)
  45: (move f6-0f f5-0f)
  46: (move f5-0f f4-0f)
  47: (pickup f4-0f key0-0)
  48: (move f4-0f f5-0f)
  49: (move f5-0f f5-1f)
  50: (move f5-1f f6-1f)
  51: (move f6-1f f6-2f)
  52: (move f6-2f f6-3f)
  53: (move f6-3f f6-4f)
  54: (move f6-4f f6-5f)
  55: (move f6-5f f6-6f)
  56: (putdown f6-6f key0-0)
