Torch: 2.12.0+cu130
Using CPU.
[Bellman] lambda=0 -> baseline (no widening signal)
[Value] SELF-CONSISTENT: leaf value = QR-DQN max_a mean Z(s,a) (SAC critics bypassed; prior still SAC policy)
[Add] OPTION8 add_beta=0.25 src=binc cap=2.0 (ADDITIVE bonus, NOT gated by P(a); prior untouched)
/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/TensorAdvancedIndexing.cpp:1514.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
  [sim 195] found goal path of length 52
[Final] Expanded: 573, Generated: 573
[Cost] IQN forward calls (Bellman signal): 1050
[Widen] nodes widened: 0, mean w: 0.0000
[Add] child-edges given an additive bonus: 5614, mean (rel-1): 0.5894
[search done] simulations=195, unique states generated=573
Found a solution of length 52!
   1: (move f5-5f f5-4f)
   2: (move f5-4f f4-4f)
   3: (move f4-4f f3-4f)
   4: (move f3-4f f3-3f)
   5: (move f3-3f f4-3f)
   6: (move f4-3f f4-2f)
   7: (move f4-2f f3-2f)
   8: (move f3-2f f2-2f)
   9: (putdown f2-2f key2-3)
  10: (move f2-2f f2-3f)
  11: (pickup f2-3f key0-1)
  12: (move f2-3f f2-2f)
  13: (move f2-2f f1-2f)
  14: (move f1-2f f1-1f)
  15: (move f1-1f f1-0f)
  16: (unlock f1-0f f0-0f key0-1 shape0)
  17: (move f1-0f f1-1f)
  18: (move f1-1f f1-2f)
  19: (move f1-2f f2-2f)
  20: (move f2-2f f2-3f)
  21: (putdown f2-3f key0-1)
  22: (move f2-3f f2-2f)
  23: (pickup f2-2f key2-3)
  24: (move f2-2f f3-2f)
  25: (putdown f3-2f key2-3)
  26: (move f3-2f f3-1f)
  27: (pickup f3-1f key2-1)
  28: (move f3-1f f3-2f)
  29: (pickup-and-loose f3-2f key2-3 key2-1)
  30: (move f3-2f f2-2f)
  31: (putdown f2-2f key2-3)
  32: (move f2-2f f3-2f)
  33: (pickup f3-2f key2-1)
  34: (move f3-2f f2-2f)
  35: (move f2-2f f1-2f)
  36: (move f1-2f f1-1f)
  37: (move f1-1f f1-0f)
  38: (pickup-and-loose f1-0f key0-2 key2-1)
  39: (move f1-0f f2-0f)
  40: (unlock f2-0f f2-1f key0-2 shape0)
  41: (move f2-0f f1-0f)
  42: (move f1-0f f0-0f)
  43: (move f0-0f f0-1f)
  44: (move f0-1f f1-1f)
  45: (move f1-1f f1-2f)
  46: (move f1-2f f2-2f)
  47: (move f2-2f f3-2f)
  48: (move f3-2f f3-3f)
  49: (move f3-3f f3-4f)
  50: (move f3-4f f3-5f)
  51: (move f3-5f f4-5f)
  52: (putdown f4-5f key0-2)
